"URI","Title","RecordId","ParentType URI","From Date","To Date","Deity","Denomination","Issuer","Manufacture","Material","Mint","Object Type","Portrait","Region","State","Symbol_obv","Symbol_rev","Obverse Legend","Obverse Type","Reverse Legend","Reverse Type","Obverse Above","Reverse Above","Obverse Below","Reverse Below","Obverse Before","Reverse Before","Obverse Behind","Reverse Behind","Obverse Above or Behind","Obverse Behind or Before","Obverse Below or Behind","Obverse In Field","Reverse In Field","Obverse Left Field","Reverse Left Field","Obverse Right Field","Reverse Right Field","Obverse Exergue","Reverse Exergue","Obverse After Legend","Reverse Above, or Above and Below","Reverse Above, Below, or Both","Reverse Center","Reverse At Base","Date Record Modified"
"http://numismatics.org/crro/id/rrc-282.3","RRC 282/3","rrc-282.3","","-118","-118","Roma","Denarius Serratus","Cn. Domitius Ahenobarbus||L. Licinius Crassus||C. Malleolus","Struck","Silver","Narbo","Coin","","Gallia Transalpina","Roman Republic","X","","C·MALLE·C·F","Head of Roma, right, wearing Attic helmet. Border of dots.","L·LIC·CN·DOM","Naked, bearded warrior in biga, right, holding shield, carnyx and reins in left hand and hurling spear with right hand. Border of dots.","","","","","","","X","","","","","","","","","","","","","","","","","","2025-05-27T04:05:08Z"
"http://numismatics.org/crro/id/rrc-282.4","RRC 282/4","rrc-282.4","","-118","-118","Roma","Denarius Serratus","Cn. Domitius Ahenobarbus||L. Licinius Crassus||L. Pomponius","Struck","Silver","Narbo","Coin","","Gallia Transalpina","Roman Republic","X","","L·POMPONI·CN͡F","Head of Roma, right, wearing Attic helmet. Border of dots.","L·LIC·CN·DOM","Naked, bearded warrior in biga, right, holding shield, carnyx and reins in left hand and hurling spear with right hand. Border of dots.","","","","","","","X","","","","","","","","","","","","","","","","","","2025-05-27T04:05:09Z"
"http://numismatics.org/crro/id/rrc-282.5","RRC 282/5","rrc-282.5","","-118","-118","Roma","Denarius Serratus","Cn. Domitius Ahenobarbus||L. Licinius Crassus||L. Porcius Licinus","Struck","Silver","Narbo","Coin","","Gallia Transalpina","Roman Republic","X","","L·PORCI·LICI","Head of Roma, right, wearing Attic helmet. Border of dots.","L·LIC·CN·DOM","Naked, bearded warrior in biga, right, holding shield, carnyx and reins in left hand and hurling spear with right hand. Border of dots.","","","","","","","X","","","","","","","","","","","","","","","","","","2025-05-27T04:05:10Z"
"http://numismatics.org/crro/id/rrc-283.1","RRC 283/1","rrc-283.1","","-118","-117","Roma||Victory","Denarius","Q. Marcius","Struck","Silver","Rome","Coin","","Latium","Roman Republic","X","","","Helmeted head of Roma, right; sometimes curl on left shoulder. Border of dots.","ROMA Q·M͡A͡R·C·F·L·R | ROMA C·F·L·R·Q·M","Victory in quadriga, right, holding reins in left hand and wreath in right hand. Border of dots.","","","","","","","X","","","","","","","","","","","","","","","","","","2025-05-27T04:05:10Z"
"http://numismatics.org/crro/id/rrc-284.1","RRC 284/1","rrc-284.1","","-117","-116","Roma||Victory","Denarius","Q. Caecilius Metellus||Cn. Fulvius||M. Calidius","Struck","Silver","Rome","Coin","","Latium","Roman Republic","X","","ROMA","Helmeted head of Roma, right. Border of dots.","M·CALID Q·M͡E͡T·CN͡F L | CN͡FOV͡L M·CA͡L·Q·M͡E͡T","Victory in biga, right, holding reins in left hand and wreath in right hand. Border of dots.","","","","","X","","","","","","","","","","","","","","","","","","","","2025-05-27T04:05:11Z"
"http://numismatics.org/crro/id/rrc-285.1","RRC 285/1","rrc-285.1","","-116","-115","Roma||Jupiter","Denarius","Cn. Domitius Ahenobarbus||Q. Curtius||M. Silanus","Struck","Silver","Rome","Coin","","Latium","Roman Republic","X","","ROMA","Helmeted head of Roma, right, with curl on left shoulder. Border of dots.","CN·DOMI","Jupiter in quadriga, right, holding thunderbolt in left hand and branch in right hand. Line border.","","","","","","","X","","","","","","","","","","","","","","","","","","2025-05-27T04:05:12Z"
"http://numismatics.org/crro/id/rrc-285.2","RRC 285/2","rrc-285.2","","-116","-115","Roma||Jupiter","Denarius","Cn. Domitius Ahenobarbus||Q. Curtius||M. Silanus","Struck","Silver","Rome","Coin","","Latium","Roman Republic","X","Lituus","Q·CVRT","Helmeted head of Roma, right, usually with curl on left shoulder. Border of dots.","M·SIL͡A ROMA","Jupiter in quadriga, right, holding sceptre in left hand and hurling thunderbolt with right hand. Line border.","","Lituus","","","","","X","","","","","","","","","","","","","","","","","","2025-05-27T04:05:13Z"
"http://numismatics.org/crro/id/rrc-285.3","RRC 285/3","rrc-285.3","","-116","-115","Saturn","Semis","Cn. Domitius Ahenobarbus||Q. Curtius||M. Silanus","Struck","Bronze","Rome","Coin","","Latium","Roman Republic","S","","CN·DOMI","Laureate head of Saturn, right.","M·SILA Q·CVRTI","Harpa.","","","","","","","S","","","","","","","","","","","","","","","","","","2025-05-27T04:05:13Z"
"http://numismatics.org/crro/id/rrc-285.4","RRC 285/4","rrc-285.4","","-116","-115","Minerva","Triens","Cn. Domitius Ahenobarbus||Q. Curtius||M. Silanus","Struck","Bronze","Rome","Coin","","Latium","Roman Republic","Four pellets","","CN·DOMI","Helmeted head of Minerva, right.","M·SILA·Q·CVRTI","Aegis.","Four pellets","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:05:13Z"
"http://numismatics.org/crro/id/rrc-285.5","RRC 285/5","rrc-285.5","","-116","-115","Hercules","Quadrans","Cn. Domitius Ahenobarbus||Q. Curtius||M. Silanus","Struck","Bronze","Rome","Coin","","Latium","Roman Republic","Three pellets","","CN·DOMI","Head of Hercules, right.","M·SILA Q·CVRTI | Q·CVRTI M·SILA","Bow, club and arrow (the last two pointing left) . | Bow, club and arrow (club and arrow can point either way). | Arrow, club, and bow (first two pointing right).","","","","","","","","","Three pellets","","","","","","","","","","","","","","","","2025-05-27T04:05:13Z"
